QAM
time (\mus),Amplitude
12.54,-98.03098
12.55,-100.96801
12.56,-96.54674
12.57,-106.936844
12.58,-99.99144
12.589999,-108.517044
12.599999,-103.83272
12.610001,-106.16618
12.62,-104.10942
12.63,-98.61842
12.64,-106.897446
12.65,-106.13592
12.66,-103.29191
12.67,-99.69981
12.679999,-89.694176
12.69,-98.29265
12.700001,-97.88871
12.71,-88.4665
12.72,-90.97034
12.73,-87.17045
12.74,-79.486176
12.75,-71.280785
12.759999,-72.09701
12.7699995,-69.810974
12.780001,-67.225105
12.79,-48.772568
12.8,-43.960735
12.81,-37.883904
12.82,-33.42053
12.83,-31.240377
12.84,-25.015408
12.849999,-16.207184
12.86,-11.068701
12.87,-7.9303627
12.88,5.7357135
12.89,12.08211
12.9,17.488811
12.91,18.883453
12.92,32.234905
12.929999,35.19168
12.94,46.425972
12.95,52.950027
12.96,55.200176
12.97,70.4699
12.9800005,58.313454
12.99,70.65843
13.0,72.426094
13.009999,85.15689
13.0199995,88.37454
13.03,81.26719
13.04,88.81327
13.05,97.22915
13.06,92.834785
13.07,101.80716
13.08,100.07821
13.09,110.1223
13.099999,95.54572
13.11,107.911415
13.12,102.4828
13.13,97.58381
13.14,107.8121
13.15,105.411995
13.16,102.821045
13.17,109.138855
13.179999,98.79161
13.19,89.61306
13.2,89.0841
13.21,84.33272
13.22,90.06134
13.2300005,90.14022
13.24,87.21757
13.25,75.89804
13.26,68.7587
13.2699995,66.942825
13.28,64.70826
13.29,55.388638
13.3,47.05937
13.31,38.538776
13.32,36.241478
13.33,30.781727
13.34,20.423552
13.349999,10.653844
13.36,9.004504
13.37,7.4238176
13.379999,3.7998028
13.39,-21.619347
13.400001,-14.057028
13.41,-24.257381
13.42,-31.256134
13.43,-34.14285
13.44,-44.36629
13.45,-46.639122
13.459999,-63.111565
13.47,-54.37528
13.4800005,-62.35703
13.49,-64.43862
13.5,-73.67822
13.51,-72.461395
13.5199995,-89.77214
13.53,-82.257645
13.54,-89.83409
13.549999,-93.57166
13.56,-95.28495
13.570001,-99.12587
13.58,-100.438835
13.59,-102.52769
13.599999,-99.32715
13.61,-94.861015
13.62,-105.955086
13.629999,-114.556
13.64,-110.70355
13.650001,-100.662285
13.66,-94.06206
13.67,-94.4942
13.68,-101.03689
13.69,-104.82202
13.7,-90.77475
13.71,-85.778275
13.719999,-90.75517
13.7300005,-89.95622
13.74,-72.604324
13.75,-75.627464
13.76,-68.32052
13.7699995,-68.79355
13.78,-59.272232
13.79,-51.071693
13.799999,-46.248615
13.809999,-45.823395
13.820001,-34.699284
13.83,-26.613577
13.84,-20.1058
13.85,-17.75825
13.86,-13.469519
13.87,-7.074347
13.88,4.1240087
13.889999,13.400691
13.900001,24.15033
